---Best Solution---
Total Value: 4334755
Item 892 not selected.
Item 893 selected.
Item 894 not selected.
Item 895 not selected.
Item 896 not selected.
Item 897 not selected.
Item 898 not selected.
Item 899 not selected.
Item 900 not selected.
Item 901 not selected.
Item 902 not selected.
Item 903 not selected.
Item 904 selected.
Item 905 not selected.
Item 906 not selected.
Item 907 not selected.
Item 908 not selected.
Item 909 not selected.
Item 910 not selected.
Item 911 not selected.
Item 912 not selected.
Item 913 not selected.
Item 914 not selected.
Item 915 not selected.
Item 916 not selected.
Item 917 not selected.
Item 918 not selected.
Item 919 not selected.
Item 920 selected.
Item 921 not selected.
Item 922 not selected.
Item 923 not selected.
Item 924 not selected.
Item 925 not selected.
Item 926 not selected.
Item 927 not selected.
Item 928 not selected.
Item 929 not selected.
Item 930 not selected.
Item 931 not selected.
Item 932 not selected.
Item 933 not selected.
Item 934 not selected.
Item 935 not selected.
Item 936 not selected.
Item 937 not selected.
Item 938 not selected.
Item 939 not selected.
Item 940 not selected.
Item 941 not selected.
Item 942 not selected.
Item 943 not selected.
Item 944 not selected.
Item 945 not selected.
Item 946 not selected.
Item 947 not selected.
Item 948 not selected.
Item 949 not selected.
Item 950 selected.
Item 951 not selected.
Item 952 not selected.
Item 953 not selected.
Item 954 selected.
Item 955 not selected.
Item 956 not selected.
Item 957 not selected.
Item 958 not selected.
Item 959 not selected.
Item 960 not selected.
Item 961 not selected.
Item 962 not selected.
Item 963 not selected.
Item 964 not selected.
Item 965 not selected.
Item 966 selected.
Item 967 not selected.
Item 968 not selected.
Item 969 not selected.
Item 970 not selected.
Item 971 not selected.
Item 972 not selected.
Item 973 not selected.
Item 974 not selected.
Item 975 not selected.
Item 976 not selected.
Item 977 not selected.
Item 978 not selected.
Item 979 not selected.
Item 980 not selected.
Item 981 not selected.
Item 982 not selected.
Item 983 not selected.
Item 984 selected.
Item 985 not selected.
Item 986 not selected.
Item 987 not selected.
Item 988 not selected.
Item 989 not selected.
Item 990 not selected.
Item 991 not selected.
Item 992 selected.
Item 993 selected.
Item 994 not selected.
Item 995 not selected.
Item 996 not selected.
Item 997 not selected.
Item 998 not selected.
Item 999 not selected.
Item 1000 not selected.
Processing Time: 718 ms.
